task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	43/47a239	34551	FASTP (4)	COMPLETED	0	2026-01-06 18:51:37.262	11.9s	11s	158.2%	1.4 GB	1.8 GB	155 MB	128.3 MB
2	45/60351d	34514	FASTP (2)	COMPLETED	0	2026-01-06 18:51:37.252	12.2s	11s	157.0%	1.5 GB	1.8 GB	155 MB	128.3 MB
8	2c/0c1da8	34534	FASTP (8)	COMPLETED	0	2026-01-06 18:51:37.257	12.3s	11s	157.5%	1.5 GB	1.8 GB	155 MB	128.3 MB
5	74/14177c	34585	FASTP (5)	COMPLETED	0	2026-01-06 18:51:37.270	12.3s	11s	156.4%	1.4 GB	1.8 GB	155 MB	128.3 MB
3	1f/59c2ee	34493	FASTP (3)	COMPLETED	0	2026-01-06 18:51:37.240	12.5s	11s	157.2%	1.5 GB	1.8 GB	155 MB	128.3 MB
1	12/846f44	34666	FASTP (1)	COMPLETED	0	2026-01-06 18:51:37.290	12.5s	11s	155.7%	1.4 GB	1.8 GB	155 MB	128.3 MB
6	17/c78f77	34632	FASTP (6)	COMPLETED	0	2026-01-06 18:51:37.282	12.6s	11s	157.6%	1.4 GB	1.8 GB	155 MB	128.3 MB
7	17/756b42	34609	FASTP (7)	COMPLETED	0	2026-01-06 18:51:37.276	12.7s	11s	154.2%	1.4 GB	1.8 GB	155 MB	128.3 MB
15	c8/48590b	35119	FASTQC (7)	COMPLETED	0	2026-01-06 18:51:49.881	11.1s	10.2s	100.2%	141.2 MB	3.1 GB	139.8 MB	991.5 KB
11	04/b4a234	34948	FASTQC (3)	COMPLETED	0	2026-01-06 18:51:49.524	11.6s	10.4s	109.6%	167.2 MB	3.1 GB	139.8 MB	991.5 KB
9	bf/1580df	34858	FASTQC (1)	COMPLETED	0	2026-01-06 18:51:49.226	12s	10.4s	104.0%	145.5 MB	3.1 GB	139.8 MB	991.5 KB
12	ad/bcca17	34993	FASTQC (4)	COMPLETED	0	2026-01-06 18:51:49.606	11.6s	10.3s	106.9%	166.1 MB	3.1 GB	139.8 MB	991.5 KB
13	c2/95cc74	35050	FASTQC (5)	COMPLETED	0	2026-01-06 18:51:49.719	11.6s	10.3s	104.7%	140.8 MB	3.1 GB	139.8 MB	991.5 KB
10	69/cfd8db	34903	FASTQC (2)	COMPLETED	0	2026-01-06 18:51:49.446	12s	10.4s	99.5%	140.8 MB	3.1 GB	139.8 MB	991.5 KB
14	45/ec4cb0	35084	FASTQC (6)	COMPLETED	0	2026-01-06 18:51:49.789	11.7s	10.1s	97.1%	141 MB	3.1 GB	139.8 MB	991.5 KB
16	a8/6c8353	35163	FASTQC (8)	COMPLETED	0	2026-01-06 18:51:50.017	11.6s	10.1s	104.8%	141.8 MB	3.1 GB	139.8 MB	991.5 KB
17	0b/2eabbf	35413	MULTIQC	COMPLETED	0	2026-01-06 18:52:01.587	3s	2.5s	117.3%	92 MB	3.3 GB	178.2 MB	8.2 MB
