task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	68/cd9fcb	32297	FASTP (5)	COMPLETED	0	2026-01-06 18:49:09.896	8.3s	7s	147.9%	1.6 GB	1.8 GB	155 MB	128.3 MB
6	39/525d4a	32413	FASTP (6)	COMPLETED	0	2026-01-06 18:49:18.227	8s	8s	150.2%	1.6 GB	1.8 GB	155 MB	128.3 MB
4	b1/edd96e	32521	FASTP (4)	COMPLETED	0	2026-01-06 18:49:26.230	8s	8s	150.0%	1.6 GB	1.8 GB	155 MB	128.3 MB
1	91/0d4876	32637	FASTP (1)	COMPLETED	0	2026-01-06 18:49:34.232	7.9s	7s	149.6%	1.6 GB	1.8 GB	155 MB	128.3 MB
8	d0/18733c	32752	FASTP (8)	COMPLETED	0	2026-01-06 18:49:42.120	8s	7s	149.5%	1.6 GB	1.8 GB	155 MB	128.3 MB
2	30/2f2c4d	32864	FASTP (2)	COMPLETED	0	2026-01-06 18:49:50.146	8s	7s	149.5%	1.6 GB	1.8 GB	155 MB	128.3 MB
3	0b/139f05	32974	FASTP (3)	COMPLETED	0	2026-01-06 18:49:58.136	8s	7s	149.8%	1.6 GB	1.8 GB	155 MB	128.3 MB
7	fa/7ccf2a	33084	FASTP (7)	COMPLETED	0	2026-01-06 18:50:06.099	8s	7s	149.7%	1.6 GB	1.8 GB	155 MB	128.3 MB
9	8d/92b826	33202	FASTQC (1)	COMPLETED	0	2026-01-06 18:50:14.112	8.7s	8.1s	106.1%	142.4 MB	3 GB	139.8 MB	991.5 KB
10	f1/a5688f	33317	FASTQC (2)	COMPLETED	0	2026-01-06 18:50:22.801	8.7s	8.1s	105.6%	141.3 MB	3 GB	139.8 MB	991.5 KB
11	93/e7cef2	33425	FASTQC (3)	COMPLETED	0	2026-01-06 18:50:31.459	9.6s	9.1s	96.0%	141.6 MB	3.1 GB	139.8 MB	991.5 KB
12	5d/3aabff	33560	FASTQC (4)	COMPLETED	0	2026-01-06 18:50:41.083	8.7s	8.1s	104.7%	143.3 MB	3 GB	139.8 MB	991.5 KB
13	52/4dd7e0	33672	FASTQC (5)	COMPLETED	0	2026-01-06 18:50:49.745	8.6s	8.1s	103.4%	142.3 MB	3 GB	139.8 MB	991.5 KB
14	4c/40a804	33786	FASTQC (6)	COMPLETED	0	2026-01-06 18:50:58.375	8.6s	8.1s	106.6%	142.8 MB	3 GB	139.8 MB	991.5 KB
15	a2/7bfa89	33912	FASTQC (7)	COMPLETED	0	2026-01-06 18:51:07.000	8.7s	8.1s	105.8%	143.7 MB	3 GB	139.8 MB	991.5 KB
16	f8/a7a113	34027	FASTQC (8)	COMPLETED	0	2026-01-06 18:51:15.696	8.7s	8.1s	106.6%	142.3 MB	3 GB	139.8 MB	991.5 KB
17	18/9c85bd	34136	MULTIQC	COMPLETED	0	2026-01-06 18:51:24.405	2.6s	2.1s	139.2%	122.6 MB	3.3 GB	178.2 MB	8.2 MB
