task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	07/feb570	85839	FASTP (7)	COMPLETED	0	2026-01-06 18:32:11.342	1.4s	1s	100.3%	16.5 MB	27.5 MB	5 MB	1.6 MB
8	6c/1aae52	85929	FASTP (8)	COMPLETED	0	2026-01-06 18:32:12.753	1.4s	0ms	102.6%	18.9 MB	30.2 MB	5 MB	1.6 MB
6	9b/719f01	85988	FASTP (6)	COMPLETED	0	2026-01-06 18:32:14.143	1.1s	1s	101.3%	19.5 MB	30.4 MB	5 MB	1.6 MB
3	90/5240d9	87440	FASTP (3)	COMPLETED	0	2026-01-06 18:32:15.276	1.3s	1s	102.0%	18 MB	29.3 MB	5 MB	1.6 MB
2	8b/b8829f	88077	FASTP (2)	COMPLETED	0	2026-01-06 18:32:16.565	1.3s	1s	102.3%	15.9 MB	27.2 MB	5 MB	1.6 MB
5	08/2a3ac6	88255	FASTP (5)	COMPLETED	0	2026-01-06 18:32:17.894	1.3s	0ms	101.6%	18.4 MB	29.5 MB	5 MB	1.6 MB
4	a4/8e310f	88309	FASTP (4)	COMPLETED	0	2026-01-06 18:32:19.179	1.3s	1s	102.6%	19.3 MB	30.6 MB	5 MB	1.6 MB
1	4e/6e0094	89736	FASTP (1)	COMPLETED	0	2026-01-06 18:32:20.474	1.2s	1s	103.0%	16.7 MB	27.8 MB	5 MB	1.6 MB
9	e9/51e104	89791	FASTQC (1)	COMPLETED	0	2026-01-06 18:32:21.681	1.7s	1.1s	164.7%	174.6 MB	3.1 GB	13.1 MB	1011.8 KB
10	0f/d40c03	89879	FASTQC (2)	COMPLETED	0	2026-01-06 18:32:23.391	2.6s	2.1s	79.6%	156.9 MB	3.1 GB	13.1 MB	1011.8 KB
11	aa/ba0f41	91311	FASTQC (3)	COMPLETED	0	2026-01-06 18:32:26.010	1.7s	1.1s	144.7%	153.1 MB	3.1 GB	13.1 MB	1011.8 KB
12	61/c3f3c6	92063	FASTQC (4)	COMPLETED	0	2026-01-06 18:32:27.665	1.7s	1.1s	143.7%	155.1 MB	3.1 GB	13.1 MB	1011.8 KB
13	34/21a299	92131	FASTQC (5)	COMPLETED	0	2026-01-06 18:32:29.386	1.6s	1.1s	145.0%	152.8 MB	3.1 GB	13.1 MB	1011.8 KB
14	76/6449de	92861	FASTQC (6)	COMPLETED	0	2026-01-06 18:32:31.026	1.6s	1.1s	140.3%	156.5 MB	3.1 GB	13.1 MB	1011.8 KB
15	5f/2c514d	92921	FASTQC (7)	COMPLETED	0	2026-01-06 18:32:32.653	1.6s	1.1s	144.5%	153.4 MB	3.1 GB	13.1 MB	1011.8 KB
16	e7/cab3c1	93657	FASTQC (8)	COMPLETED	0	2026-01-06 18:32:34.305	1.7s	1.1s	144.9%	154.5 MB	3.1 GB	13.1 MB	1011.8 KB
17	74/7d3c2b	94391	MULTIQC	COMPLETED	0	2026-01-06 18:32:35.991	2.4s	2s	146.2%	76.5 MB	3.2 GB	180.6 MB	8.1 MB
